Frame;Elapsed_Time_In_Milliseconds;Time;Thumb_CMC_Spread;Thumb_CMC_Flex;Thumb_PIP_Flex;Thumb_DIP_Flex;Index_MCP_Spread;Index_MCP_Flex;Index_PIP_Flex;Index_DIP_Flex;Middle_MCP_Spread;Middle_MCP_Flex;Middle_PIP_Flex;Middle_DIP_Flex;Ring_MCP_Spread;Ring_MCP_Flex;Ring_PIP_Flex;Ring_DIP_Flex;Pinky_MCP_Spread;Pinky_MCP_Flex;Pinky_PIP_Flex;Pinky_DIP_Flex;Thumb_CMC_Spread_AngularVelocity;Thumb_CMC_Flex_AngularVelocity;Thumb_PIP_Flex_AngularVelocity;Thumb_DIP_Flex_AngularVelocity;Index_MCP_Spread_AngularVelocity;Index_MCP_Flex_AngularVelocity;Index_PIP_Flex_AngularVelocity;Index_DIP_Flex_AngularVelocity;Middle_MCP_Spread_AngularVelocity;Middle_MCP_Flex_AngularVelocity;Middle_PIP_Flex_AngularVelocity;Middle_DIP_Flex_AngularVelocity;Ring_MCP_Spread_AngularVelocity;Ring_MCP_Flex_AngularVelocity;Ring_PIP_Flex_AngularVelocity;Ring_DIP_Flex_AngularVelocity;Pinky_MCP_Spread_AngularVelocity;Pinky_MCP_Flex_AngularVelocity;Pinky_PIP_Flex_AngularVelocity;Pinky_DIP_Flex_AngularVelocity;Thumb_CMC_Spread_AngularAcceleration;Thumb_CMC_Flex_AngularAcceleration;Thumb_PIP_Flex_AngularAcceleration;Thumb_DIP_Flex_AngularAcceleration;Index_MCP_Spread_AngularAcceleration;Index_MCP_Flex_AngularAcceleration;Index_PIP_Flex_AngularAcceleration;Index_DIP_Flex_AngularAcceleration;Middle_MCP_Spread_AngularAcceleration;Middle_MCP_Flex_AngularAcceleration;Middle_PIP_Flex_AngularAcceleration;Middle_DIP_Flex_AngularAcceleration;Ring_MCP_Spread_AngularAcceleration;Ring_MCP_Flex_AngularAcceleration;Ring_PIP_Flex_AngularAcceleration;Ring_DIP_Flex_AngularAcceleration;Pinky_MCP_Spread_AngularAcceleration;Pinky_MCP_Flex_AngularAcceleration;Pinky_PIP_Flex_AngularAcceleration;Pinky_DIP_Flex_AngularAcceleration
20;333,3333;00:00:00:333;48,30452;51,59928;3,094337;1,386492;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;-9,266051;-2,646332;-0,003791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-555,9631;-158,7799;-0,227451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;350;00:00:00:350;48,31956;51,62464;3,0944;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;0,902252;1,521377;0,003791;-0,008476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;610,0981;250,0625;0,454903;-0,508547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;366,6667;00:00:00:367;48,28989;51,65445;3,094337;1,386492;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;-1,780014;1,78894;-0,003791;0,008476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-160,936;16,05377;-0,454903;1,017094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;383,3333;00:00:00:383;48,45051;51,76032;3,094337;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;9,637069;6,351928;0;-0,008476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;685,0249;273,7793;0,227451;-1,017094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;400;00:00:00:400;48,32213;51,83881;3,094273;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;-7,702789;4,709701;-0,003805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1040,391;-98,53362;-0,22831;0,508547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;416,6667;00:00:00:417;48,31902;51,9068;3,094337;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;-0,186768;4,079132;0,003805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450,9612;-37,83414;0,456619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;433,3333;00:00:00:433;48,50806;52,10789;3,0944;1,38621;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;11,3427;12,06573;0,003791;-0,008469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;691,7678;479,1961;-0,000858;-0,508118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;450;00:00:00:450;48,47028;52,13724;3,094273;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;-2,267075;1,760788;-0,007596;0,008469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-816,5862;-618,2968;-0,683212;1,016235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;466,6667;00:00:00:467;48,51273;52,28453;3,094337;1,38621;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;2,547226;8,837585;0,003805;-0,008469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;288,858;424,6078;0,684071;-1,016235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;483,3333;00:00:00:483;48,54539;52,37992;3,094273;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;1,959686;5,722961;-0,003805;0,008469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-35,25237;-186,8775;-0,456619;1,016235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;500;00:00:00:500;48,56587;52,41494;3,094337;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;1,228409;2,101364;0,003805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-43,87664;-217,2958;0,456619;-0,508118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
