Frame;Elapsed_Time_In_Milliseconds;Time;Thumb_CMC_Spread;Thumb_CMC_Flex;Thumb_PIP_Flex;Thumb_DIP_Flex;Index_MCP_Spread;Index_MCP_Flex;Index_PIP_Flex;Index_DIP_Flex;Middle_MCP_Spread;Middle_MCP_Flex;Middle_PIP_Flex;Middle_DIP_Flex;Ring_MCP_Spread;Ring_MCP_Flex;Ring_PIP_Flex;Ring_DIP_Flex;Pinky_MCP_Spread;Pinky_MCP_Flex;Pinky_PIP_Flex;Pinky_DIP_Flex;Thumb_CMC_Spread_AngularVelocity;Thumb_CMC_Flex_AngularVelocity;Thumb_PIP_Flex_AngularVelocity;Thumb_DIP_Flex_AngularVelocity;Index_MCP_Spread_AngularVelocity;Index_MCP_Flex_AngularVelocity;Index_PIP_Flex_AngularVelocity;Index_DIP_Flex_AngularVelocity;Middle_MCP_Spread_AngularVelocity;Middle_MCP_Flex_AngularVelocity;Middle_PIP_Flex_AngularVelocity;Middle_DIP_Flex_AngularVelocity;Ring_MCP_Spread_AngularVelocity;Ring_MCP_Flex_AngularVelocity;Ring_PIP_Flex_AngularVelocity;Ring_DIP_Flex_AngularVelocity;Pinky_MCP_Spread_AngularVelocity;Pinky_MCP_Flex_AngularVelocity;Pinky_PIP_Flex_AngularVelocity;Pinky_DIP_Flex_AngularVelocity;Thumb_CMC_Spread_AngularAcceleration;Thumb_CMC_Flex_AngularAcceleration;Thumb_PIP_Flex_AngularAcceleration;Thumb_DIP_Flex_AngularAcceleration;Index_MCP_Spread_AngularAcceleration;Index_MCP_Flex_AngularAcceleration;Index_PIP_Flex_AngularAcceleration;Index_DIP_Flex_AngularAcceleration;Middle_MCP_Spread_AngularAcceleration;Middle_MCP_Flex_AngularAcceleration;Middle_PIP_Flex_AngularAcceleration;Middle_DIP_Flex_AngularAcceleration;Ring_MCP_Spread_AngularAcceleration;Ring_MCP_Flex_AngularAcceleration;Ring_PIP_Flex_AngularAcceleration;Ring_DIP_Flex_AngularAcceleration;Pinky_MCP_Spread_AngularAcceleration;Pinky_MCP_Flex_AngularAcceleration;Pinky_PIP_Flex_AngularAcceleration;Pinky_DIP_Flex_AngularAcceleration
20;320;00:00:00:320;44,20376;15,2202;3,0944;21,64614;2,55428;-3,992922;90,15088;81,70882;-15,74666;-6,149404;50,63958;46,15568;-22,80277;-6,003157;93,12627;84,6801;-25,81858;3,70787;8,663494;8,970253;1,205063;0,438995;0,003791;-15,03216;-8,19942;-9,467896;-65,06012;-58,55758;-11,68596;-13,2421;-17,58362;-15,82306;-15,7354;-9,224309;-67,73209;-61,05056;-13,34713;-5,353832;-14,05804;-12,6293;501,9103;-351,8199;-0,000858;-200,3082;-588,8165;525,4734;-843,9424;-759,7045;-380,5561;1218,046;-105,5375;-95,00426;-424,9717;304,2904;-316,6262;-285,3424;-484,9365;-334,0453;105,5511;94,915
21;336;00:00:00:336;44,18109;15,30114;3,094273;21,22856;2,507724;-4,405356;87,77705;79,57228;-15,83469;-6,650983;49,84835;45,44367;-22,90973;-6,817739;91,7775;83,46442;-26,09015;2,768242;8,224114;8,575538;-1,360474;4,8567;-0,007596;-25,05523;-2,793331;-24,74604;-142,4295;-128,1921;-5,282135;-30,09473;-47,47375;-42,72033;-6,417961;-48,87488;-80,9262;-72,94052;-16,29398;-56,37769;-26,36278;-23,68292;-153,9322;265,0623;-0,683212;-601,3846;324,3653;-916,6888;-4642,163;-4178,073;384,2296;-1011,157;-1793,408;-1613,836;559,0461;-2379,034;-791,6469;-713,3974;-176,8113;-3061,431;-738,2846;-663,217
22;352;00:00:00:352;43,97683;14,92987;3,094337;20,8388;2,546221;-4,643128;85,98937;77,96327;-15,67747;-7,108374;48,99852;44,67894;-22,70748;-7,614323;90,57536;82,3809;-26,10631;1,88128;7,784724;8,180838;-12,25525;-22,27638;0,003805;-23,3852;2,309804;-14,26635;-107,2609;-96,54052;9,433135;-27,44347;-50,99029;-45,88417;12,13509;-47,79507;-72,12799;-65,0116;-0,969772;-53,21772;-26,36341;-23,682;-653,6865;-1627,985;0,684071;100,2022;306,188;628,7818;2110,117;1899,097;882,9161;159,0751;-210,9924;-189,83;1113,183;64,78844;527,8926;475,7354;919,4526;189,5979;-0,037766;0,054932
23;368;00:00:00:368;44,04703;14,74834;3,094337;20,58826;2,466645;-4,51028;85,05157;77,11919;-15,72989;-6,698727;48,26592;44,01969;-22,68853;-7,870955;89,84233;81,72026;-26,20023;1,185147;7,257474;7,70719;4,211884;-10,89146;0;-15,03239;-4,77456;7,970895;-56,26831;-50,64514;-3,144779;24,57885;-43,95561;-39,5549;1,137428;-15,39794;-43,98193;-39,63821;-5,635185;-41,76799;-31,63502;-28,41885;988,0278;683,0955;-0,22831;501,1687;-425,0618;1334,234;3059,555;2753,723;-754,6748;3121,339;422,081;379,7561;-659,8594;1943,828;1688,764;1522,403;-279,9247;686,9835;-316,2964;-284,2112
24;384;00:00:00:384;44,1909;14,62288;3,094273;20,33771;2,484277;-4,178092;84,34819;76,48617;-15,49908;-6,89418;47,79706;43,59777;-22,61284;-7,600032;89,31458;81,24461;-26,18126;0,85455;6,847363;7,33877;8,63205;-7,52798;-0,003805;-15,03319;1,057935;19,93126;-42,2026;-37,98111;13,84832;-11,72722;-28,13186;-25,31524;4,54113;16,25542;-31,66488;-28,53927;1,137886;-19,8358;-24,60663;-22,10518;265,21;201,8085;-0,22831;-0,048065;349,9497;717,6217;843,9422;759,8419;1019,586;-2178,364;949,4246;854,3791;204,2221;1899,201;739,0226;665,9362;406,3842;1315,932;421,7033;378,8206
25;400;00:00:00:400;44,1837;14,58345;3,094337;20,17068;2,412326;-4,085572;83,99651;76,16963;-15,52768;-6,792838;47,50404;43,33406;-22,69674;-7,441073;88,99203;80,95394;-26,27537;0,75873;6,642367;7,154589;-0,431671;-2,365722;0,003805;-10,02205;-4,317055;5,551242;-21,10107;-18,99216;-1,716099;6,080532;-17,5811;-15,82237;-5,034027;9,537534;-19,35287;-17,43988;-5,646629;-5,749211;-12,29977;-11,0509;-543,8232;309,7355;0,456619;300,6683;-322,4994;-862,8008;1266,092;1139,337;-933,8652;1068,465;633,0458;569,5724;-574,5094;-403,073;738,7206;665,9636;-407,0709;845,1953;738,4116;663,2565
26;416;00:00:00:416;44,08935;14,48686;3,094337;19,92013;2,418404;-4,006533;83,17594;75,43108;-15,57143;-6,802474;47,03518;42,91215;-22,77097;-7,355088;88,25903;80,29333;-26,34828;0,750432;6,115133;6,680962;-5,661392;-5,795116;0;-15,03284;0,364666;4,742345;-49,23385;-44,31289;-2,624817;-0,578184;-28,13164;-25,31456;-4,453926;5,159111;-43,9801;-39,63684;-4,374619;-0,497893;-31,63404;-28,41759;-313,7832;-205,7636;-0,22831;-300,6477;280,9032;-48,53382;-1687,967;-1519,244;-54,52308;-399,5229;-633,0321;-569,5312;34,80603;-262,7054;-1477,633;-1331,817;76,32062;315,079;-1160,057;-1042,002
27;432;00:00:00:432;44,01382;14,39471;3,094337;19,72527;2,480098;-4,045834;82,70702;75,00905;-15,55034;-6,742354;46,71284;42,62208;-22,73108;-7,348976;87,81922;79,89698;-26,30852;0,775565;5,851496;6,44412;-4,531403;-5,529041;0;-11,69151;3,70162;-2,358055;-28,13507;-25,32211;1,265602;3,607206;-19,34028;-17,4044;2,39376;0,366697;-26,3887;-23,78082;2,385864;1,507966;-15,81825;-14,2105;67,79935;15,96451;0;200,4799;200,2172;-426,024;1265,927;1139,447;233,4251;251,1234;527,4811;474,6092;410,8612;-287,5448;1055,484;951,3609;405,6289;120,3516;948,9474;852,4257
28;448;00:00:00:448;43,74016;13,77044;3,0944;19,53038;2,448646;-3,969262;82,38467;74,71891;-15,57955;-6,871068;46,47841;42,4111;-22,75163;-7,335828;87,35009;79,47421;-26,30249;0,717098;5,67575;6,28625;-16,41975;-37,45639;0,003791;-11,69311;-1,887116;4,594316;-19,34097;-17,40829;-1,752548;-7,722845;-14,0657;-12,65854;-1,232872;0,78887;-28,14789;-25,36651;0,361519;-3,508018;-10,54476;-9,472245;-713,301;-1915,641;0,227451;-0,09613;-335,3242;417,1422;527,6459;474,8289;-181,089;-679,803;316,4749;284,7519;-217,5979;25,33035;-105,5511;-95,14159;-121,4607;-300,959;316,4097;284,2953
29;464;00:00:00:464;43,55227;13,12523;3,094337;19,05712;2,451442;-3,825001;81,53478;73,95399;-15,59569;-6,835609;45,83376;41,83099;-22,68042;-7,046537;86,44118;78,65511;-26,27674;0,455425;5,119176;5,786248;-11,2738;-38,71233;-0,003791;-28,39577;0,16777;8,655653;-50,9935;-45,89538;-0,968399;2,127571;-38,6792;-34,80675;4,272079;17,35748;-54,53476;-49,1455;1,545181;-15,70036;-33,3944;-30,00008;308,757;-75,3559;-0,454903;-1002,159;123,2932;243,6802;-1899,151;-1709,225;47,04894;591,0249;-1476,809;-1328,892;330,2971;994,1168;-1583,212;-1426,739;71,01974;-731,5403;-1370,979;-1231,67
